trayID,species,spID,I,n,trayID_consec,day,planter,plate,domeID,side,x,x1,y,temp_PM,temp_AM,richness,SD,shannon,n_allP,n_allP.na,I_all,n_radish,n_arugula,n_basil,n_red_rom,n_green_rom,n_butter,I_radish,I_arugula,I_basil,I_red_rom,I_green_rom,I_butter,notes,n_others,n_others2,temp_PM_z,richness_z,n_others_z,n_others2_z,n_allP.na_z,n_radish_zsq,n_arugula_zsq,n_basil_zsq,n_red_rom_zsq,n_green_rom_zsq,n_butter_zsq,n_radish_p,n_arugula_p,n_basil_p,n_red_rom_p,n_green_rom_p,n_butter_p
41,radish,1,32,81,38,2,KF,5,51,R,6,6.3,6,24.7,24,2,0.5,0.6809538397553379,154,152,59,88,64,0,0,0,0,39,20,0,0,0,0,A TOOTHPICK MISSING,64,0,-0.2112269715364624,-0.2675041779803306,-0.518686677463073,-0.6127213033294283,-0.5356790153917597,0.28900269023020514,0.33528552342745815,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5789473684210527,0.42105263157894735,0,0,0,0
42,arugula,2,27,49,39,3,CE,7,56,L,2,2,7,25,23.7,2,1,0.6437536178731768,154,154,105,101,53,0,0,0,0,74,31,0,0,0,0,NA,53,0,-0.12122743964426516,-0.2675041779803306,-0.58562661847906194,-0.6127213033294283,-0.5189176042971594,0.35773109521508045,0.2501983205962268,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.6558441558441559,0.34415584415584416,0,0,0,0
42,radish,1,66,93,39,3,CE,7,56,L,2,2,7,25,23.7,2,1,0.6437536178731768,154,154,105,101,53,0,0,0,0,74,31,0,0,0,0,NA,53,0,-0.12122743964426516,-0.2675041779803306,-0.58562661847906194,-0.6127213033294283,-0.5189176042971594,0.35773109521508045,0.2501983205962268,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.6558441558441559,0.34415584415584416,0,0,0,0
43,arugula,2,13,34,40,1,KF,3,11,L,2,2,2,27.2,24.2,2,2,0.5727850616244737,154,151,86,114,37,0,0,0,0,70,16,0,0,0,0,NA,37,0,0.5387691275651793,-0.2675041779803306,-0.6829938054114096,-0.6127213033294283,-0.5440597209390599,0.42216128199920816,0.10867819679379691,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.7549668874172185,0.24503311258278146,0,0,0,0
43,radish,1,61,105,40,1,KF,3,11,L,2,2,2,27.2,24.2,2,2,0.5727850616244737,154,151,86,114,37,0,0,0,0,70,16,0,0,0,0,NA,37,0,0.5387691275651793,-0.2675041779803306,-0.6829938054114096,-0.6127213033294283,-0.5440597209390599,0.42216128199920816,0.10867819679379691,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.7549668874172185,0.24503311258278146,0,0,0,0
44,arugula,2,6,19,41,2,KF,5,20,R,2,2.3,3,27,23.5,2,5,0.39830711380528416,154,152,62,132,20,0,0,0,0,55,7,0,0,0,0,NA,20,0,0.4787694396370481,-0.2675041779803306,-0.786446441527029,-0.6127213033294283,-0.5356790153917597,0.5055798455598635,-0.08168934410885681,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.868421052631579,0.13157894736842105,0,0,0,0
44,radish,1,44,121,41,2,KF,5,20,R,2,2.3,3,27,23.5,2,5,0.39830711380528416,154,152,62,132,20,0,0,0,0,55,7,0,0,0,0,NA,20,0,0.4787694396370481,-0.2675041779803306,-0.786446441527029,-0.6127213033294283,-0.5356790153917597,0.5055798455598635,-0.08168934410885681,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.868421052631579,0.13157894736842105,0,0,0,0
45,arugula,2,18,58,42,3,CE,8,31,R,4,4.3,4,26.3,23.5,2,0.5,0.6809538397553379,154,151,55,88,63,0,0,0,0,32,23,0,0,0,0,PHOTO,63,0,0.2687705318885887,-0.2675041779803306,-0.5247721266463446,-0.6127213033294283,-0.5440597209390599,0.28900269023020514,0.32786927026089135,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5827814569536424,0.41721854304635764,0,0,0,0
45,radish,1,26,81,42,3,CE,8,31,R,4,4.3,4,26.3,23.5,2,0.5,0.6809538397553379,154,151,55,88,63,0,0,0,0,32,23,0,0,0,0,PHOTO,63,0,0.2687705318885887,-0.2675041779803306,-0.5247721266463446,-0.6127213033294283,-0.5440597209390599,0.28900269023020514,0.32786927026089135,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5827814569536424,0.41721854304635764,0,0,0,0
46,arugula,2,15,58,43,1,KF,2,88,L,7,7,10,22.2,24.4,2,0.5,0.6809538397553379,154,151,40,88,63,0,0,0,0,22,18,0,0,0,0,A TOOTHPICK MISSING,63,0,-0.961223070638104,-0.2675041779803306,-0.5247721266463446,-0.6127213033294283,-0.5440597209390599,0.28900269023020514,0.32786927026089135,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5827814569536424,0.41721854304635764,0,0,0,0
