trayID,day,planter,plate,domeID,side,Loc_x,Loc_y,temp_PM,richness,shannon,n_allP,n_allP.na,I_all,n_radish,n_arugula,n_basil,n_red_rom,n_green_rom,n_butter,tray_type
96,3,KF,7,52,R,7.3,6,24.1,4,1.347502698,238,234,127,83,60,50,41,0,0,regular
97,1,LR,2,36,R,9.3,4,26,4,1.347502698,238,234,132,85,0,60,49,40,0,regular
98,2,CE,4,50,R,5.3,6,24.9,4,1.347502698,238,237,23,0,85,41,50,0,61,regular
99,3,CE,7,72,L,9,8,23.7,4,1.347502698,238,235,139,61,41,83,50,0,0,regular
100,1,LR,1,53,L,8,6,24.5,4,1.347502698,238,238,11,0,41,0,86,61,50,regular
101,2,CT,6,25,R,7.3,3,26.6,4,1.347502698,238,234,100,41,58,50,0,85,0,regular
102,3,CE,8,9,R,9.3,1,25.7,4,1.347502698,238,238,39,61,50,41,0,0,86,regular
103,1,CE,1,53,R,8.3,6,25.1,4,1.347502698,238,236,138,86,41,48,61,0,0,regular
104,2,LR,4,54,L,9,6,25.2,4,1.347502698,238,236,118,50,85,0,40,61,0,regular
105,3,LR,7,77,L,5,9,24,4,1.347502698,238,237,46,0,41,85,0,61,50,regular
106,1,CT,1,49,R,4.3,6,25.5,4,1.347502698,238,236,87,61,49,40,86,0,0,regular
117,2,LR,4,50,L,5,6,25.1,4,1.347502698,238,237,27,41,49,0,0,86,61,regular
118,3,LR,8,29,L,2,4,27.4,4,1.347502698,238,234,12,0,59,50,0,41,84,regular
119,1,CT,1,83,L,2,10,23.1,4,1.347502698,238,237,63,85,50,41,0,61,0,regular
120,2,LR,5,27,R,9.3,3,26,4,1.347502698,238,234,158,41,82,0,61,50,0,regular
121,3,LR,7,74,L,2,9,24.2,4,1.347502698,238,237,14,0,49,86,0,41,61,regular
122,1,CT,2,73,R,1.3,9,24.7,4,1.347502698,238,238,15,0,50,41,86,0,61,regular
123,2,LR,4,47,R,2.3,6,25.7,4,1.347502698,238,237,24,41,50,0,61,85,0,regular
124,3,LR,9,39,L,3,5,26.6,4,1.347502698,238,237,19,49,0,0,61,41,86,regular
125,1,CT,3,11,R,2.3,2,27.1,4,1.347502698,238,233,59,40,50,59,0,0,84,regular
126,2,LR,5,40,R,4.3,5,27.1,4,1.347502698,238,234,146,60,85,39,0,0,50,regular
127,3,LR,9,19,L,1,3,27.6,6,1.716355276,304,302,124,87,62,50,42,35,26,regular
128,1,LR,1,49,L,4,6,24.6,6,1.521279876,304,298,278,128,69,42,29,18,12,augmented
129,2,LR,5,67,L,4,8,23.7,6,1.121685049,304,301,286,187,62,28,14,7,3,augmented
130,3,LR,8,58,L,4,7,24.5,6,0.60438923,304,303,281,250,40,10,2,1,0,augmented
131,1,LR,3,26,R,8.3,3,26.6,6,1.716355276,304,297,256,87,58,50,41,35,26,regular
132,2,LR,6,8,R,8.3,1,27.4,6,1.716355276,304,304,47,87,63,51,42,35,26,regular
133,3,LR,7,72,R,9.3,8,23.9,6,1.716355276,304,303,245,87,63,50,42,35,26,regular
134,1,LR,1,69,L,6,8,23.7,6,1.716355276,304,299,260,86,62,49,41,35,26,regular
135,2,LR,4,81,L,9,9,23.7,6,1.716355276,304,298,276,86,62,49,40,35,26,regular
136,3,LR,9,4,R,4.3,1,25.5,6,1.716355276,304,245,52,86,59,29,41,22,8,regular
137,1,LR,2,59,R,5.3,7,24.7,6,1.716355276,304,302,250,87,62,50,42,35,26,regular
138,2,LR,6,21,L,3,3,27.4,6,1.716355276,304,299,217,86,63,48,42,34,26,regular
139,3,LR,7,64,L,1,8,25.4,6,1.716355276,304,300,244,87,63,48,42,35,25,regular
140,1,LR,2,22,L,4,3,27.8,6,1.716355276,304,296,215,85,34,58,51,42,26,regular
141,2,LR,4,76,L,4,9,24.1,6,1.716355276,304,294,208,33,82,39,51,26,63,regular
142,3,LR,7,52,L,7,6,24.5,6,1.716355276,304,300,112,63,41,85,51,35,25,regular
143,1,LR,1,90,L,9,10,22.3,6,1.716355276,304,301,170,26,42,33,87,63,50,regular
144,2,LR,6,25,L,7,3,26.4,6,1.716355276,304,301,135,41,61,51,35,87,26,regular
145,3,LR,9,43,R,7.3,5,26.1,6,1.716355276,304,304,187,63,51,42,26,35,87,regular
146,1,LR,1,55,R,1.3,7,26.6,6,1.716355276,304,303,157,86,42,51,63,35,26,regular
147,2,LR,4,70,L,7,8,22.9,6,1.716355276,304,300,245,50,86,25,42,63,34,regular
148,3,LR,9,9,L,9,1,26,6,1.716355276,304,301,55,26,41,87,35,62,50,regular
149,1,LR,1,80,R,8.3,9,23,6,1.716355276,304,302,253,62,51,42,87,35,25,regular
150,2,LR,4,66,L,3,8,24,6,1.714414191,238,235,140,67,49,39,33,27,20,regular
151,3,LR,7,68,L,5,8,23.6,6,1.714414191,238,235,212,67,49,39,33,27,20,regular
152,1,LR,1,86,L,5,10,22.6,6,1.714414191,238,237,100,68,50,40,33,27,19,regular
153,2,LR,5,33,L,6,4,26.4,6,1.714414191,238,233,119,66,48,40,33,27,19,regular
154,3,LR,8,45,R,9.3,5,26.5,6,1.714414191,238,232,155,68,49,36,33,26,20,regular
155,1,LR,3,15,R,6.3,2,26.9,6,1.714414191,238,234,183,68,49,38,32,27,20,regular
156,2,LR,5,51,L,6,6,24.2,6,1.714414191,238,236,156,67,50,39,33,27,20,regular
157,3,LR,8,62,R,8.3,7,24.5,6,1.714414191,238,234,157,68,50,36,33,27,20,regular
158,1,LR,1,83,R,2.3,10,23.1,6,1.714414191,238,234,80,67,47,40,33,27,20,regular
159,2,LR,6,41,R,5.3,5,27,6,1.714414191,238,231,115,64,50,37,33,27,20,regular
160,3,LR,9,6,L,6,1,27.3,6,1.714414191,238,236,23,33,39,27,20,68,49,regular
161,1,LR,1,57,R,3.3,7,24.5,6,1.714414191,238,234,63,27,50,38,20,33,66,regular
162,2,LR,5,71,R,8.3,8,23.4,6,1.714414191,238,234,167,67,38,33,26,50,20,regular
163,3,LR,8,60,L,6,7,23.9,6,1.714414191,238,237,118,33,68,26,50,40,20,regular
164,1,LR,3,5,R,5.3,1,27.4,6,1.714414191,238,234,39,27,37,67,20,33,50,regular
165,2,LR,6,13,L,4,2,27.8,6,1.714414191,238,232,51,19,39,33,67,27,47,regular
166,3,LR,9,3,R,3.3,1,25.9,6,1.714414191,238,237,22,33,39,20,50,68,27,regular
167,1,LR,1,65,L,2,8,24.7,6,1.714414191,238,235,92,40,18,27,50,33,67,regular
168,2,LR,4,46,R,1.3,6,26.8,6,1.714414191,238,238,47,33,40,50,27,20,68,regular
169,3,LR,7,56,R,2.3,7,24.5,6,1.714414191,238,237,121,50,67,33,27,20,40,regular
201,1,CT,2,61,L,7,7,23.7,1,0,238,226,112,0,226,0,0,0,0,extra_singlespp
202,2,KF,5,27,L,9,3,26.4,1,0,238,227,159,0,227,0,0,0,0,extra_singlespp
203,3,CT,7,48,R,3.3,6,24.8,1,0,238,234,36,0,234,0,0,0,0,extra_singlespp
204,1,CT,3,26,L,8,3,26.4,1,0,238,234,15,0,0,234,0,0,0,extra_singlespp
205,2,CE,4,54,R,9.3,6,25.2,1,0,238,229,10,0,0,229,0,0,0,extra_singlespp
206,3,CT,9,16,L,7,2,27,1,0,238,230,24,0,0,230,0,0,0,extra_singlespp
207,1,CT,2,38,R,2.3,5,27.3,1,0,238,229,11,0,0,229,0,0,0,extra_singlespp
208,2,CE,6,18,L,9,2,26.5,1,0,238,237,12,0,0,0,237,0,0,extra_singlespp
209,3,CT,9,12,R,3.3,2,26.7,1,0,238,237,13,0,0,0,237,0,0,extra_singlespp
210,1,CT,3,34,L,7,4,26,1,0,238,238,23,0,0,0,238,0,0,extra_singlespp
211,2,CE,6,44,L,8,5,26.2,1,0,238,238,8,0,0,0,238,0,0,extra_singlespp
212,3,CT,9,43,L,7,5,25.6,1,0,238,238,10,0,0,0,0,238,0,extra_singlespp
213,1,CT,3,15,L,6,2,27,1,0,238,238,9,0,0,0,0,238,0,extra_singlespp
214,2,CE,6,44,R,8.3,5,25.7,1,0,238,238,6,0,0,0,0,238,0,extra_singlespp
215,3,CT,8,35,R,8.3,4,26,1,0,238,238,12,0,0,0,0,238,0,extra_singlespp
216,1,CT,3,28,L,1,4,28,1,0,238,238,11,0,0,0,0,0,238,extra_singlespp
301,3,CE,NA,NA,NA,NA,NA,NA,1,0,304,304,0,304,0,0,0,0,0,control
302,3,LR,NA,NA,NA,NA,NA,NA,1,0,304,304,0,0,304,0,0,0,0,control
303,3,LR,NA,NA,NA,NA,NA,NA,1,0,304,304,0,0,0,304,0,0,0,control
304,3,CE,NA,NA,NA,NA,NA,NA,1,0,304,304,0,0,0,0,304,0,0,control
305,3,CE,NA,NA,NA,NA,NA,NA,1,0,304,304,0,0,0,0,0,304,0,control
306,3,CE,NA,NA,NA,NA,NA,NA,1,0,304,304,0,0,0,0,0,0,304,control
